UniqueIndexID_ItaCoLA	Sentence	ExpertAcceptability	PlayersAcceptability	NumAnnotations	DisaggragatedAnnotations	PlayersID
8897	È arrivato tuo padre?	1	1	4	1,1,1,1	vj6buGww,HQ8yy7gw,OeynLncz,C62PYy1K
4042	Alice smette del pasto.	0	0	2	0,0	vj6buGww,HQ8yy7gw
824	Ho aspettato alcune ore.	1	1	2	1,1	vj6buGww,HQ8yy7gw
1139	Edoardo sta arrivando.	1	1	2	1,1	vj6buGww,HQ8yy7gw
7253	Gabriele a trarre le cuoia.	0	0	2	0,0	vj6buGww,HQ8yy7gw
32	Riccardo legge.	1	1	2	1,1	vj6buGww,HQ8yy7gw
9081	Alice trasale verso la cucina.	0	0	4	0,0,0,0	vj6buGww,HQ8yy7gw,OeynLncz,C62PYy1K
97	Ho incontrato lei, non lui.	1	1	2	1,1	vj6buGww,HQ8yy7gw
388	Che cosa ha dato a Lorenzo, Tommaso?	1	0	3	1,0,0	vj6buGww,WsIxGOD?,HQ8yy7gw
1972	La luce è rimasta saltata.	0	0	3	0,0,0	vj6buGww,WsIxGOD?,HQ8yy7gw
3993	Giulia parla che partirà con Paola.	0	0	4	0,1,0,0	vj6buGww,GkYyKime,WsIxGOD?,HQ8yy7gw
3969	Riccardo ne la esenta.	0	0	3	0,0,0	GkYyKime,FclsoYiw,nWOrC?wr
7890	Scusa!	1	1	4	1,1,1,1	GkYyKime,GkYyKime,989jwIzU,CtecEp6w
5944	Emma è in spavento.	0	0	4	0,0,0,1	GkYyKime,pS8ktAgS,989jwIzU,CtecEp6w
1015	Purtroppo oggi piove.	1	1	4	1,1,1,1	GkYyKime,HQ8yy7gw,xr0!?w5q,!GXFVVUQ
8753	Lorenzo ha incontrato la settimana scorsa.	0	0	4	0,0,0,0	GkYyKime,989jwIzU,Rfsfks4I,GkYyKime
5504	La lezione è finita per ore.	0	0	3	0,0,0	GkYyKime,989jwIzU,GkYyKime
3206	Francesco colma attenzioni nel padre.	0	0	3	0,0,0	GkYyKime,989jwIzU,i5VZ9EBr
965	La mia macchina è per mio fratello.	1	1	3	0,1,1	GkYyKime,Rfsfks4I,y1VxC7mB
1703	Saltare la corrente.	0	0	3	0,0,0	GkYyKime,joqYXLG1,AWVSmErk
8910	Il postino parte alle otto.	1	1	4	1,1,1,1	GkYyKime,X1XDhPwh,wgWvRcwc,kKyAP7X8
8909	Gli animali sono oggi al centro di un dibattito concernente i loro diritti.	1	0	3	0,1,0	GkYyKime,wgWvRcwc,kKyAP7X8
756	Io ho visto.	1	1	2	1,1	GkYyKime,ggipwdNm
1042	Edoardo ha un cane.	1	1	3	1,1,1	GkYyKime,WsIxGOD?,7EoU8Bhg
8321	Sofia ha tagliato la testa al bisonte.	0	1	5	1,1,1,1,1	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
1211	Il tuo gatto ha mangiato la salsiccia.	1	1	5	1,1,1,1,1	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
1833	Ha russato in due ore.	0	0	5	0,0,0,1,0	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
5347	La nave fu affondata con il capitano.	0	1	5	0,1,1,1,0	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
3534	Alice bada a ciò che tutto riesca.	0	0	5	0,0,0,0,0	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
7863	Edoardo crede che Emma voglia che Tommaso veda Gabriele.	1	1	5	1,1,1,1,1	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
2326	Edoardo annodò il filo.	0	1	5	1,1,1,1,1	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
143	Nella sua città natale, Riccardo è tornato l'anno scorso.	1	1	5	0,1,1,1,1	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
3610	Leonardo si colpisce che Beatrice parta.	0	0	5	0,0,0,1,0	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
687	Edoardo disse: "Arriverò alle quattro."	1	1	5	1,1,1,1,1	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
7663	È alla porta di casa che Emma ha piantato dei paletti dal marciapiedi.	0	0	5	0,1,0,1,0	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,7EoU8Bhg
1069	Tra noi non ci si parla più da tempo.	1	1	6	0,1,1,0,1,1	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,X1XDhPwh,7EoU8Bhg
515	Tommaso ha detto che Mattia lo ha guardato.	1	1	6	1,1,1,1,1,1	GkYyKime,WsIxGOD?,pS8ktAgS,ggipwdNm,X1XDhPwh,7EoU8Bhg
6826	Un aereo li atterrò a raccogliere.	0	0	2	0,0	WsIxGOD?,haNSh5E9
334	Gabriele ha detto di domandare l'ora ad Andrea.	1	1	3	1,1,0	WsIxGOD?,ns!1RT2G,joqYXLG1
2734	In quest'istante non nevica, ma nevica.	0	0	2	0,0	WsIxGOD?,GkYyKime
7877	Gabriele è scapolo ed è sposato.	1	0	2	0,0	WsIxGOD?,Yxeisc4b
9721	Leonardo associa la linguistica dalla psicologia.	0	1	3	1,1,0	WsIxGOD?,y1VxC7mB,exQKDQzP
9201	Gabriele allieta Paola del fatto che Alice ride.	0	0	4	1,0,0,0	WsIxGOD?,7EoU8Bhg,chcRfurI,Res5lRUk
98	Lo incontro tutti i giorni.	1	1	2	1,1	WsIxGOD?,X1XDhPwh
5518	Leonardo è guarito per due giorni.	0	0	3	0,0,0	WsIxGOD?,X1XDhPwh,AWVSmErk
333	Se sapesse che ha l'orologio, Tommaso domanderebbe che ora è ad Alessandro.	1	1	3	1,1,1	WsIxGOD?,X1XDhPwh,G?j??PoF
674	Quei ragazzi teme la guerra.	0	0	3	0,0,0	WsIxGOD?,X1XDhPwh,ObFZENFT
1087	Le do il cappello.	1	1	2	1,1	WsIxGOD?,AWVSmErk
7813	Quella costruzione offende il buon gusto.	1	1	3	1,1,1	WsIxGOD?,pS8ktAgS,i5VZ9EBr
3618	Andrea allieta se stesso che Paola ride.	0	0	4	0,0,0,0	WsIxGOD?,X1XDhPwh,ObFZENFT,SL90k!9d
550	Arrivato Francesco, ci siamo sentiti meglio.	1	1	3	1,1,1	WsIxGOD?,pS8ktAgS,X1XDhPwh
1234	Qualcuno che è in questo posto.	1	0	3	1,0,0	WsIxGOD?,pS8ktAgS,X1XDhPwh
7948	Non mi piace il vino.	1	1	3	1,1,1	WsIxGOD?,pS8ktAgS,X1XDhPwh
6423	Paola piovve.	0	0	3	0,0,0	WsIxGOD?,pS8ktAgS,X1XDhPwh
1237	La costruzione del palazzo è durata due anni.	1	1	4	1,1,1,1	WsIxGOD?,pS8ktAgS,X1XDhPwh,Rfsfks4I
2457	L'artrosi ne ha paralizzato le mani.	0	0	3	0,0,1	WsIxGOD?,pS8ktAgS,X1XDhPwh
9525	Leonardo ha incendiato le palle.	0	0	6	1,1,0,0,0,0	WsIxGOD?,pS8ktAgS,X1XDhPwh,Rfsfks4I,OeynLncz,C62PYy1K
786	Le persone che parlano sempre mi piacciono poco.	1	1	4	1,1,1,1	WsIxGOD?,pS8ktAgS,X1XDhPwh,Rfsfks4I
316	Alessandro ha affermato che la situazione è grave.	1	1	4	1,1,1,1	WsIxGOD?,pS8ktAgS,X1XDhPwh,Rfsfks4I
8815	Lorenzo mangia la mela.	1	1	6	1,1,0,1,1,1	WsIxGOD?,pS8ktAgS,X1XDhPwh,Rfsfks4I,OeynLncz,C62PYy1K
1303	C'è Riccardo?	1	1	4	0,1,1,1	WsIxGOD?,pS8ktAgS,X1XDhPwh,Rfsfks4I
8830	Questo libro, non lo avevo mai letto.	1	0	6	0,1,1,0,0,0	WsIxGOD?,pS8ktAgS,X1XDhPwh,Rfsfks4I,OeynLncz,C62PYy1K
8893	Tu, se gli dei ti amano, è il momento buono per fare il tuo affare.	1	0	6	0,0,0,0,1,0	WsIxGOD?,pS8ktAgS,X1XDhPwh,Rfsfks4I,OeynLncz,C62PYy1K
71	Un ragazzo partito poco fa.	1	0	4	0,1,0,0	WsIxGOD?,pS8ktAgS,X1XDhPwh,Rfsfks4I
7805	Il mio treno preferito è la Divina Commedia.	0	0	5	0,0,0,0,0	WsIxGOD?,pS8ktAgS,X1XDhPwh,Rfsfks4I,GkYyKime
882	Gli ho promesso di parlare.	1	1	6	1,1,1,1,1,1	pS8ktAgS,HQ8yy7gw,GkYyKime,989jwIzU,P0VN040d,CtecEp6w
8670	Sofia mantiene testa al nemico.	0	1	3	0,1,1	pS8ktAgS,ObFZENFT,CtecEp6w
5672	La porta si è fatta aperta.	0	0	2	0,0	pS8ktAgS,fUTgr?Eu
8955	Alessandro ha aspirato.	0	1	3	1,1,1	pS8ktAgS,P0VN040d,wgWvRcwc
8845	Siamo usciti in macchina.	1	1	2	1,1	pS8ktAgS,wgWvRcwc
5667	La valigia, da appesantita è diventata alleggerita.	0	1	4	0,1,1,1	pS8ktAgS,kuARztUC,CtecEp6w,AWVSmErk
9206	Il ministro è dal ritiro del passaporto.	0	0	4	0,0,0,0	pS8ktAgS,ns!1RT2G,wgWvRcwc,kKyAP7X8
386	Hanno parlato molti ragazzi.	1	1	3	1,1,1	pS8ktAgS,Rfsfks4I,GkYyKime
221	Su quale pavimento hai detto che Andrea ha sparso i fogli?	1	0	3	1,0,0	pS8ktAgS,Rfsfks4I,GkYyKime
7950	Mettere fretta.	1	1	3	1,1,1	pS8ktAgS,Rfsfks4I,GkYyKime
4610	L'immortalità confonde la libertà con Francesco.	0	0	3	0,0,0	pS8ktAgS,Rfsfks4I,GkYyKime
9269	Quell'ha architetto progettato alcuni musei.	0	0	5	1,0,0,0,0	pS8ktAgS,Rfsfks4I,GkYyKime,OeynLncz,C62PYy1K
1195	Chi non si preoccupa sono i turisti scandinavi: meno di cento prenotazioni disdette.	1	1	3	1,1,1	pS8ktAgS,Rfsfks4I,GkYyKime
4589	Maria ne ha messo i vestiti.	0	0	3	0,0,0	pS8ktAgS,Rfsfks4I,GkYyKime
506	I ragazzi di cui mi ha parlato la ragazza partono.	1	1	3	1,1,1	pS8ktAgS,Rfsfks4I,GkYyKime
842	Questa è una matita.	1	1	3	1,1,1	pS8ktAgS,Rfsfks4I,GkYyKime
6254	Emma glielo rubò il cuore ad Alessandro.	0	0	3	0,0,0	pS8ktAgS,Rfsfks4I,GkYyKime
603	Io ritengo che Alice sia una buona giornalista.	1	1	3	1,1,1	pS8ktAgS,Rfsfks4I,GkYyKime
99	L'ho incontrato ieri.	1	1	3	1,1,1	pS8ktAgS,GkYyKime,Rfsfks4I
1291	Esprimo che non sono d'accordo.	0	1	3	1,1,1	pS8ktAgS,Rfsfks4I,GkYyKime
3992	Beatrice discorre che partirà con Maria.	0	0	3	0,1,0	pS8ktAgS,Rfsfks4I,GkYyKime
7952	Tutte le balene devono essere protette.	1	1	3	1,1,1	pS8ktAgS,GkYyKime,Rfsfks4I
51	Il giudice ha interrogato il testimone ieri sera.	1	1	2	1,1	989jwIzU,i5VZ9EBr
3710	Riccardo vuole Francesco che canta.	0	0	2	0,0	989jwIzU,nWOrC?wr
2064	Ciò termina il fiume qui.	0	0	2	0,0	989jwIzU,i5VZ9EBr
1536	La stanchezza ha sbadigliato Gabriele.	0	0	2	0,0	989jwIzU,l6q79feM
720	Ho preso un caffè.	1	1	4	1,1,1,1	989jwIzU,xr0!?w5q,ObFZENFT,i5VZ9EBr
8807	Alessandro ritiene che Francesco sia convinto che quella casa appartenga ancora alla propria famiglia.	1	1	4	1,1,1,0	989jwIzU,ns!1RT2G,wgWvRcwc,kKyAP7X8
731	La folla si è dispersa.	1	1	4	1,1,1,0	989jwIzU,ObFZENFT,SL90k!9d,Yxeisc4b
1330	Gabriele ambisce alla presidenza.	1	1	4	1,1,1,1	989jwIzU,7EoU8Bhg,CtecEp6w,y6DhlGjr
8507	Riccardo si seduce.	0	0	2	0,0	989jwIzU,haNSh5E9
5643	La valigia si è fatta alleggerita.	0	0	2	0,0	989jwIzU,Yxeisc4b
987	Alessandro si addormenta.	1	1	3	1,1,0	989jwIzU,ns!1RT2G,haNSh5E9
4384	Riccardo abbaia.	0	0	3	0,0,0	989jwIzU,ObFZENFT,Yxeisc4b
9194	Edoardo pensa di Vittoria essere bella.	0	0	3	0,0,0	989jwIzU,OeynLncz,C62PYy1K
34	Alessandro mangia.	1	1	2	1,1	7EoU8Bhg,989jwIzU
3152	Aurora dà uno schiaffo con Leonardo.	0	0	2	0,0	7EoU8Bhg,989jwIzU
6021	La Grecia si è schiacciata.	0	0	2	0,0	7EoU8Bhg,989jwIzU
3387	Giulia spostò la bottiglia alla tavola.	0	0	2	0,0	7EoU8Bhg,989jwIzU
2395	Il con Riccardo soddisfazione mangiava.	0	0	2	0,0	7EoU8Bhg,989jwIzU
3261	Il vento increspa.	0	0	2	0,0	7EoU8Bhg,989jwIzU
1272	Ho aperto la porta.	1	1	2	1,1	7EoU8Bhg,989jwIzU
813	La macchina, l'ha presa tuo fratello.	1	1	4	1,1,1,0	ns!1RT2G,7EoU8Bhg,joqYXLG1,G?j??PoF
532	Riccardo conosceva quell'uomo.	1	1	2	1,1	7EoU8Bhg,989jwIzU
226	Quali pietre desideri che dormano in questa stanza?	0	0	2	0,0	7EoU8Bhg,989jwIzU
39	Dopo il suo discorso, il presidente ebbe una crisi cardiaca.	1	1	2	1,1	7EoU8Bhg,kuARztUC
4310	Dio è.	0	1	3	1,1,1	ns!1RT2G,CtecEp6w,y6DhlGjr
43	Francesco teme.	0	1	3	1,0,1	7EoU8Bhg,GkYyKime,xr0!?w5q
8339	I bambini eruttarono lava.	0	0	3	0,0,0	ns!1RT2G,joqYXLG1,haNSh5E9
1325	La sveglia ha suonato per l'intera serata.	0	1	3	0,1,1	7EoU8Bhg,GkYyKime,CtecEp6w
1964	Ho notato una sveglia suonata.	0	0	3	0,0,1	7EoU8Bhg,CtecEp6w,69YGNH2F
7161	Andrea ha tosato il canarino.	0	1	2	1,1	7EoU8Bhg,OeynLncz
8782	Lorenzo ha promesso a Paola di studiare ogni giorno.	1	1	3	1,1,0	ns!1RT2G,wgWvRcwc,kKyAP7X8
981	L'acqua bolle a cento gradi.	1	1	2	1,1	ns!1RT2G,CtecEp6w
1963	Ho notato la luce saltata.	0	1	4	1,1,1,0	7EoU8Bhg,CtecEp6w,G?j??PoF,SL90k!9d
3090	Paola aprì una finestra in ottone sul muro.	0	0	2	0,0	ns!1RT2G,Yxeisc4b
6932	La zanzara è di una rigida condotta morale.	0	0	3	1,0,0	7EoU8Bhg,ObFZENFT,qTMVRODw
8984	Il livello è alzato.	0	0	3	0,0,0	7EoU8Bhg,wgWvRcwc,kKyAP7X8
7596	Le foto di Gabriele e Leonardo conservano se stesse in quella scatola.	0	0	3	0,0,1	7EoU8Bhg,CtecEp6w,OeynLncz
3503	Paola bada ciò.	0	0	2	0,0	ns!1RT2G,989jwIzU
9307	Beatrice riempie il frigo da frutta.	0	0	4	0,0,0,0	ns!1RT2G,989jwIzU,OeynLncz,C62PYy1K
5587	Il cioccolato si è fuso per 5 minuti.	0	0	2	0,0	ns!1RT2G,989jwIzU
804	Il bambino di Edoardo ha rotto la macchina fotografica!	1	1	2	1,1	ns!1RT2G,989jwIzU
6212	Maria recò legna al bosco.	0	0	2	0,0	ns!1RT2G,989jwIzU
523	Un uomo è arrivato che conosco bene.	0	0	2	0,0	ns!1RT2G,989jwIzU
2890	L'aereo decolla dalla pista in Norvegia.	0	1	2	1,1	ns!1RT2G,989jwIzU
335	Andrea ha detto di domandare che ora è a Riccardo.	1	1	2	1,1	ns!1RT2G,989jwIzU
608	Di chi ha trovato una foto Leonardo?	1	1	3	1,1,0	7EoU8Bhg,CtecEp6w,UfynjwNK
3288	Il servizio militare dà Riccardo all'amministrazione.	0	0	2	0,0	ns!1RT2G,989jwIzU
8799	Questa è la sedia su cui Francesco ha domandato quando Alessandro si è seduto.	0	0	4	0,0,0,0	7EoU8Bhg,989jwIzU,OeynLncz,C62PYy1K
1256	Fare benzina.	1	0	2	0,0	ns!1RT2G,989jwIzU
6207	Riccardo ha incendiato i traguardi.	0	0	2	0,0	ns!1RT2G,989jwIzU
811	Non andare a casa!	1	1	2	1,1	ns!1RT2G,989jwIzU
587	Lorenzo corre.	1	1	2	1,1	ns!1RT2G,989jwIzU
7499	Beatrice pente se stessa.	0	0	2	0,0	7EoU8Bhg,989jwIzU
3557	Riccardo pensa Maria essere bella.	0	0	2	0,0	7EoU8Bhg,989jwIzU
970	Il cavallo è un animale resistente.	1	1	2	1,1	7EoU8Bhg,989jwIzU
7822	Non ho trovato il tuo libro in quella biblioteca.	1	1	3	1,1,1	HQ8yy7gw,gdqnsEpe,chcRfurI
853	Hai preso il latte?	1	1	3	1,1,1	HQ8yy7gw,X1XDhPwh,P0VN040d
347	Francesco ha promesso che se ne andrà.	1	1	3	1,1,1	HQ8yy7gw,mZ4JRJwL,!GXFVVUQ
7807	Andrea sta elaborando la risposta.	1	1	2	1,1	HQ8yy7gw,i5VZ9EBr
985	Sono andato in America.	1	1	2	1,1	HQ8yy7gw,!GXFVVUQ
2110	Le spalle di Lorenzo davano.	0	0	3	0,0,0	HQ8yy7gw,GkYyKime,P0VN040d
37	Gabriele scrive una lettera.	1	1	2	1,1	HQ8yy7gw,CtecEp6w
574	Il professore dice che lui ha raccomandato di leggere un libro di introduzione alla grammatica generativa, non una raccolta di favole.	1	1	3	1,1,1	HQ8yy7gw,P0VN040d,CtecEp6w
3951	Riccardo convince Andrea ad aver fatto un errore.	0	0	2	0,0	HQ8yy7gw,P0VN040d
524	Lui dice che il professore ha raccomandato di leggere un libro di introduzione alla grammatica generativa.	1	1	2	1,1	HQ8yy7gw,P0VN040d
3467	Gli uomini e le donne formano una discriminazione.	0	0	2	0,0	HQ8yy7gw,P0VN040d
8844	Esco col cappotto!	1	1	4	1,1,1,1	HQ8yy7gw,P0VN040d,OeynLncz,C62PYy1K
4216	Riccardo abita la vallata.	0	0	2	0,0	HQ8yy7gw,P0VN040d
510	I ragazzi di cui Lorenzo dice che Sofia sostiene che mi ha parlato la ragazza partono.	1	0	2	0,0	HQ8yy7gw,P0VN040d
6297	Riccardo abbandonò l'abito alle ortiche.	0	1	3	0,1,1	HQ8yy7gw,vj6buGww,P0VN040d
4174	Beatrice mangia la pizza e al ristorante.	0	0	3	0,0,0	HQ8yy7gw,vj6buGww,P0VN040d
1145	Ho messo le scarpe sul letto.	1	1	3	1,1,1	HQ8yy7gw,vj6buGww,P0VN040d
669	Gabriele promette a Maria che partirà domani.	1	1	3	1,1,1	HQ8yy7gw,vj6buGww,P0VN040d
9606	Il frigorifero si è beccato una forte cotta per Andrea.	0	0	5	0,1,0,0,0	HQ8yy7gw,vj6buGww,P0VN040d,OeynLncz,C62PYy1K
417	L'uomo che ha appena parlato è mio zio.	1	1	2	1,1	HQ8yy7gw,vj6buGww
567	Penso all'affermazione di Alice che Lorenzo vuole sposare Emma.	1	1	2	1,1	HQ8yy7gw,vj6buGww
667	Cerco la persona a cui consegnare questo pacco.	1	1	2	1,1	HQ8yy7gw,vj6buGww
8881	Saranno le tre.	1	1	3	1,1,0	ggipwdNm,wgWvRcwc,kKyAP7X8
3660	Nel suo sguardo splendeva di aver vinto al lotto.	0	1	2	1,1	ggipwdNm,ObFZENFT
1375	L'idraulico aggiusta il tubo.	1	1	4	1,1,1,0	ggipwdNm,joqYXLG1,69YGNH2F,haNSh5E9
609	Di chi ha sentito una storia su una foto Riccardo?	0	0	2	0,0	ggipwdNm,AWVSmErk
91	Lo gli do subito.	0	0	2	0,0	X1XDhPwh,ObFZENFT
1115	Lo dico io.	1	1	3	1,1,0	X1XDhPwh,7EoU8Bhg,AWVSmErk
490	Il mattone vuole cantare la Traviata.	0	0	2	0,0	Rfsfks4I,i5VZ9EBr
602	Io ritengo Emma una buona giornalista.	1	0	3	0,1,0	Rfsfks4I,xr0!?w5q,i5VZ9EBr
382	Dormono molti studenti.	1	1	2	1,1	Rfsfks4I,i5VZ9EBr
7929	Riccardo non ha tempo.	1	1	2	1,1	Rfsfks4I,!GXFVVUQ
1028	La casa è stata ripulita.	1	1	2	1,1	Rfsfks4I,GkYyKime
530	Gabriele sa quell'uomo.	0	0	5	0,0,0,0,0	Rfsfks4I,7EoU8Bhg,GkYyKime,AWVSmErk,haNSh5E9
6623	Maria ha perso Andrea.	0	1	2	1,1	7EoU8Bhg,joqYXLG1
3162	Leonardo ha dato un libro per Maria.	0	0	5	0,1,0,0,1	7EoU8Bhg,kuARztUC,joqYXLG1,AWVSmErk,69YGNH2F
1571	Quando iniziò il concerto, il figlio di Riccardo si sedeva in prima fila.	0	0	2	0,0	7EoU8Bhg,AWVSmErk
5404	Ha rivestito il cassetto con di carta a fiori.	0	0	3	0,1,0	7EoU8Bhg,l6q79feM,CPR730mE
6927	La zanzara ha una rigida condotta morale.	0	1	3	1,0,1	GkYyKime,P0VN040d,kuARztUC
7998	I negozianti hanno aumentato.	0	0	2	0,0	989jwIzU,kuARztUC
743	Ho bevuto il vino che Tommaso mi ha portato.	1	1	3	1,1,1	989jwIzU,kuARztUC,CtecEp6w
66	Francesco è un grande oratore.	1	1	3	1,1,1	989jwIzU,FclsoYiw,CtecEp6w
788	Spedisce un libro da Roma a Vicenza.	1	1	2	1,1	989jwIzU,CtecEp6w
868	I libri che gli antichi scrissero sono utili.	1	1	3	1,1,1	989jwIzU,xr0!?w5q,CtecEp6w
2515	È gli artisti che dipingono dei quadri.	0	0	2	0,0	989jwIzU,P0VN040d
7947	Ho preso dello zucchero.	1	1	3	1,1,1	989jwIzU,gdqnsEpe,CtecEp6w
3693	Francesco adora di carezzare Leonardo	0	0	2	0,0	989jwIzU,AWVSmErk
3219	Tommaso imbeve il pane.	0	1	3	1,0,1	989jwIzU,P0VN040d,mZ4JRJwL
8026	La biancheria si è asciugata per un'ora.	0	1	2	1,1	989jwIzU,CtecEp6w
1160	Mangiare mangia, il bambino.	1	0	3	1,0,0	989jwIzU,Yxeisc4b,OeynLncz
671	Quel ragazzo picchia quei signori.	1	1	4	1,1,1,1	P0VN040d,gdqnsEpe,ObFZENFT,69YGNH2F
8920	Gabriele sta scrivendo.	1	1	2	1,1	P0VN040d,wgWvRcwc
1535	L'emozione ha impaperato Andrea.	0	0	2	0,0	P0VN040d,ObFZENFT
6450	La moda della minigonna voga di nuovo.	0	0	4	0,0,0,0	P0VN040d,mZ4JRJwL,pENvr5?R,ObFZENFT
7030	Edoardo procede a fare il caricamento del camion di casse.	0	0	3	0,0,1	gdqnsEpe,exQKDQzP,!GXFVVUQ
6231	Lorenzo ha bruciato le tappe vecchie.	0	0	2	0,0	gdqnsEpe,i5VZ9EBr
8884	Edoardo ordina a Mattia di restare a casa.	1	1	3	1,1,1	gdqnsEpe,OeynLncz,C62PYy1K
8918	Beatrice è corsa a casa.	1	1	2	1,1	gdqnsEpe,exQKDQzP
16	Chi dici che Leonardo sostiene che mi ha colpito?	1	0	2	0,0	gdqnsEpe,i5VZ9EBr
1250	Parto fra poco.	1	1	3	1,1,1	gdqnsEpe,!GXFVVUQ,joqYXLG1
2786	Il cielo brilla di una stella.	0	0	2	0,0	gdqnsEpe,i5VZ9EBr
7550	Lorenzo mette il bicchiere di vino.	0	0	3	0,0,0	gdqnsEpe,kuARztUC,!GXFVVUQ
